Call Number,Author,Title,Barcode,Year,Date Acquired,Status,Circs
F AHD,"Ahdieh, Renée.",Flame in the mist,3043700009291,2017,8/9/2019,Available,2
F AHD,"Ahdieh, Renée.",The rose & the dagger,3043700011165,2016,8/9/2019,Available,1
F AHD,"Ahdieh, Renée.",The rose & the dagger,3043700016830,2016,12/14/2020,Available,1
F AHD,"Ahdieh, Renée.",Smoke in the sun,3043700011554,2018,8/9/2019,Available,2
F AHD,"Ahdieh, Renée.",The wrath & the dawn,3043700012478,2015,8/9/2019,Checked Out,2
F AHE,"Ahern, Cecelia, 1981-",Flawed,3043700009297,2016,8/9/2019,Available,0
F AHE,"Ahern, Cecelia, 1981-",Perfect,3043700010828,2017,8/9/2019,Available,0
F AHI,"Ahiers, Sarah,",Assassin's heart,3043700003315,2016,8/9/2019,Available,0
F AHI,"Ahiers, Sarah,",Thief's cunning,3043700013944,2017,12/5/2019,Available,0
F AHM,"Ahmadi, Arvin.",Down and across,3043700013231,2018,12/5/2019,Available,1
F AHM,"Ahmadi, Arvin.",Down and across a novel,,2018,9/3/2019,Follett eBook,0
F AHM,"Ahmadi, Arvin,",Girl gone viral,3043700017445,,12/14/2020,Available,0
F AHM,"Ahmadi, Arvin.",How it all blew up,3043700016802,2020,12/14/2020,Available,0
F AHM,"Ahmed, Samira, (Fiction writer),",Hollow fires,3043700071379,2022,9/30/2022,Available,0
F AHM,"Ahmed, Samira (Fiction writer)",Internment,,2019,9/3/2019,Follett eBook,0
F AHM,"Ahmed, Samira (Fiction writer)",Internment,3043700013309,2019,12/5/2019,Available,2
F AHM,"Ahmed, Samira (Fiction writer)","Love, hate & other filters",,2018,9/26/2019,Follett eBook,0
F AHM,"Ahmed, Samira (Fiction writer)","Love, hate & other filters",3043700013792,2018,12/5/2019,Checked Out,2
F AHM,"Ahmed, Samira (Fiction writer)","Mad, bad & dangerous to know",,2020,8/28/2020,Follett eBook,0
F AJV,"Ajvide Lindqvist, John, 1968-",Handling the undead,3043700012775,2011,12/5/2019,Available,0
F AKH,"Akhtar, Ayad.",American dervish : a novel,3043700002787,2012,8/9/2019,Available,0
F AKI,"Akiyoshi, Rikako,",The dark maidens,3043700008637,2018,8/9/2019,Available,0
F ALA,"Alameda, Courtney,",Pitch dark,3043700010846,2018,8/9/2019,Available,0
F ALA,"Alameda, Courtney,",Seven deadly shadows,3043700017160,2020,12/14/2020,Available,0
F ALA,"Alameda, Courtney.",Shutter,3043700011450,2015,8/9/2019,Available,1
F ALA,"Alarcón, Daniel, 1977-",Lost City Radio : a novel,3043700010329,2008,8/9/2019,Available,0
F ALB,"Alban, Andrea.",Anya's war,3043700003255,2011,8/9/2019,Available,0
F ALB,"Albert, Melissa,",The Hazel Wood,3043700009726,2018,8/9/2019,Available,2
F ALB,"Albert, Melissa,",The Hazel Wood,3043700017099,2018,12/14/2020,Available,0
F ALB,"Albert, Melissa.",The night country,,2020,8/28/2020,Follett eBook,0
F ALB,"Albert, Melissa.",The night country : a Hazel Wood novel,3043700016282,2020,5/20/2020,Available,0
F ALB,"Albertalli, Becky,",Leah on the off beat,3043700010181,2018,8/9/2019,Available,0
F ALB,"Albertalli, Becky,","Love, Creekwood : a Simonverse novella",3043700016817,2020,12/14/2020,Available,0
F ALB,"Albertalli, Becky,",Simon vs. the Homo Sapiens agenda,3043700011485,2018,8/9/2019,Available,2
F ALB,"Albertalli, Becky.",The upside of unrequited,3043700014112,2017,12/5/2019,Available,0
F ALB,"Albertalli, Becky.",What if it's us,,2018,9/3/2019,Follett eBook,0
F ALB,"Albertalli, Becky.",What if it's us,3043700012301,2018,8/9/2019,Available,5
F ALB,"Albertalli, Becky,",Yes no maybe so,3043700016348,2020,5/20/2020,Checked Out,1
F ALB,"Albin, Gennifer.",Altered,3043700002769,2013,8/9/2019,Available,0
F ALB,"Albin, Gennifer.",Crewel,3043700014000,2013,12/5/2019,Available,0
F ALB,"Albin, Gennifer,",Unraveled,3043700014401,2015,12/5/2019,Available,0
F ALB,"Albom, Mitch, 1958-",The first phone call from heaven,3043700009271,2014,8/9/2019,Available,0
F ALB,"Albom, Mitch, 1958-",The five people you meet in heaven,3043700009287,2018,8/9/2019,Available,0
F ALB,"Albom, Mitch, 1958-",The next person you meet in Heaven,3043700010567,2018,8/9/2019,Available,1
F ALB,"Albright, Emily,",The heir and the spare,3043700013694,2016,12/5/2019,Available,0
F ALC,"Alcott, Louisa May, 1832-1888,",Jo's boys,3043700014698,2015,12/5/2019,Available,0
F ALC,"Alcott, Louisa May, 1832-1888.",Little women,3043700010295,1989,8/9/2019,Available,1
F ALC,"Alcott, Louisa May, 1832-1888.",Little women,3043700010296,2009,8/9/2019,Available,4
F ALD,"Alderman, Naomi.",The power : a novel,3043700010883,2017,8/9/2019,Available,1
F ALD,"Alderson, Sarah,",The Sound,3043700011611,2014,8/9/2019,Available,1
F ALE,"Alegría, Malín.",Estrella's quinceañera,3043700009233,2007,8/9/2019,Available,0
F ALE,"Alegría, Malín.",Sofi Mendoza's guide to getting lost in Mexico,3043700013088,2008,12/5/2019,Checked Out,1
F ALE,"Alender, Katie.",As dead as it gets,3043700014616,2013,12/5/2019,Available,0
F ALE,"Alender, Katie.",Bad girls don't die,3043700003360,2009,8/9/2019,Available,3
F ALE,"Alender, Katie.",The dead girls of Hysteria Hall,3043700013623,2015,12/5/2019,Available,0
F ALE,"Alender, Katie.",Famous last words,3043700013663,2014,12/5/2019,Available,0
F ALE,"Alender, Katie.",From bad to cursed,3043700015063,2012,12/5/2019,Available,0
F ALE,"Alender, Katie,","Marie Antoinette, serial killer",3043700010411,2014,8/9/2019,Available,1
F ALE,"Alene, Catherine.",The sky between you and me,,2017,9/26/2019,Follett eBook,0
F ALE,"Alene, Catherine.",The sky between you and me,3043700011519,2017,8/9/2019,Available,1
F ALE,"Alexander, Jill (Jill Shurbet)",The sweetheart of Prosper County,3043700015497,2010,12/5/2019,Available,0
F ALE,"Alexander, Kwame.",Booked,3043700008235,2016,8/9/2019,Available,1
F ALE,"Alexander, Kwame.",The crossover,3043700008560,2014,8/9/2019,Available,0
F ALE,"Alexander, Kwame,","He said, she said : a novel",3043700013687,2013,12/5/2019,Available,0
F ALE,"Alexander, Kwame.",Rebound,3043700011041,2018,8/9/2019,Checked Out,1
F ALE,"Alexander, Kwame.",Solo,,2017,9/3/2019,Follett eBook,0
F ALE,"Alexander, Kwame.",Solo,3043700011571,2017,8/9/2019,Checked Out,3
F ALE,"Alexander, Kwame.",Swing,,2018,9/3/2019,Follett eBook,0
F ALE,"Alexander, Kwame.",Swing,3043700013111,2018,12/5/2019,Available,4
F ALE,"Alexander, Lloyd.",The Black Cauldron,3043700008142,1999,8/9/2019,Available,0
F ALE,"Alexander, Lloyd.",The book of three,3043700008234,1999,8/9/2019,Available,0
F ALE,"Alexander, Lloyd.",The castle of Llyr,3043700008368,1999,8/9/2019,Available,0
F ALE,"Alexander, Lloyd,",The high king,3043700009769,2017,8/9/2019,Available,1
F ALE,"Alexander, Lloyd.",Taran Wanderer,3043700011819,1999,8/9/2019,Available,0
F ALE,"Alexander, Sarah.",The art of not breathing,,2016,9/26/2019,Follett eBook,0
F ALE,"Alexander, Sarah.",The art of not breathing,3043700003283,2016,8/9/2019,Available,0
F ALE,"Alexie, Sherman, 1966-",The absolutely true diary of a part-time Indian,3043700002648,2017,8/9/2019,Checked Out,1
F ALI,"Ali, Monica, 1967-",Untold story : a novel,3043700012102,2012,8/9/2019,Available,0
F ALI,"Ali, S. K.",Love from A to Z,3043700016271,2019,5/20/2020,Checked Out,2
F ALI,"Ali, S. K.",Saints and misfits,3043700011224,2017,8/9/2019,Checked Out,2
F ALL,"Allen-Agostini, Lisa,",Home home,3043700016799,2020,12/14/2020,Available,0
F ALL,"Allen, Becky.",Bound by blood and sand,,2017,9/3/2019,Follett eBook,0
F ALL,"Allen, Becky,",Bound by blood and sand,3043700008239,2016,8/9/2019,Available,0
F ALL,"Allen, Becky.",Freed by flame and storm,3043700009394,2017,8/9/2019,Available,0
F ALL,"Allen, Carrie, 1976-",Michigan vs. the boys,,2019,8/28/2020,Follett eBook,0
F ALL,"Allen, Kate, 1977-",The line tender,3043700010265,2019,8/9/2019,Available,0
F ALL,"Allen, Rachael, 1982-",17 first kisses,3043700014996,2014,12/5/2019,Available,0
F ALL,"Allen, Rachael, 1982-",The summer of impossibilities : a novel,3043700017307,2020,12/14/2020,Available,0
F ALL,"Allen, Rachael, 1982-",A taxonomy of love,,2018,9/26/2019,Follett eBook,0
F ALL,"Allen, Rachael, 1982-",A taxonomy of love,3043700013123,2018,12/5/2019,Available,1
F ALL,"Allen, Roger MacBride.",Showdown at centerpoint,3043700013078,1995,12/5/2019,Available,1
F ALL,"Allende, Isabel.",The house of the spirits,3043700009820,2005,8/9/2019,Available,0
F ALL,"Allgeyer, Amy.",Dig too deep,,2016,9/26/2019,Follett eBook,0
F ALL,"Allgeyer, Amy.",Dig too deep,3043700008772,2016,8/9/2019,Available,0
F ALL,"Allston, Aaron.",Betrayal,3043700015004,2007,12/5/2019,Available,0
F ALL,"Allston, Aaron.",Enemy lines I : Rebel dream,3043700012719,2002,12/5/2019,Available,1
F ALL,"Allston, Aaron.",Enemy lines II : Rebel stand,3043700012720,2002,12/5/2019,Available,1
F ALL,"Allston, Aaron.",Exile,3043700015053,2007,12/5/2019,Available,1
F ALL,"Allston, Aaron,",Fury,3043700015064,2007,12/5/2019,Available,1
F ALL,edited by Saundra Mitchell.,All out,3043700013176,2018,12/5/2019,Available,0
F ALM,"Almond, David,",Half a creature from the sea : a life in stories,3043700009681,2015,8/9/2019,Available,0
F ALM,"Almond, David, 1951-",Clay,3043700014645,2006,12/5/2019,Available,0
F ALM,"Almond, David, 1951-",The color of the sun,,2019,8/28/2020,Follett eBook,0
F ALM,"Almond, David, 1951-",The fire-eaters,3043700009002,2004,8/9/2019,Available,0
F ALM,"Almond, David, 1951-",Raven summer,3043700014599,2011,12/5/2019,Available,0
F ALM,"Almond, David, 1951-",The savage,3043700011242,2008,8/9/2019,Available,0
F ALM,"Almond, David, 1951-",A song for Ella Grey,3043700011592,2015,8/9/2019,Available,0
F ALM,"Almond, David, 1951-",The tightrope walkers,3043700011938,2015,8/9/2019,Available,0
F ALM,"Almond, David, 1951-",The true tale of the monster Billy Dean telt by hisself,3043700011991,2014,8/9/2019,Available,0
F ALO,"Alonge, L. J.",Frank,3043700009382,2017,8/9/2019,Available,0
F ALO,"Alonge, L. J.",Janae,3043700010007,2016,8/9/2019,Available,0
F ALO,"Alonge, L. J.",Justin,3043700010040,2016,8/9/2019,Available,0
F ALO,"Alonge, L. J.,",Toni,3043700011950,2017,8/9/2019,Available,0
F ALP,"Alpert, Mark, 1961-",The siege,,2016,9/26/2019,Follett eBook,0
F ALP,"Alpert, Mark, 1961-",The siege,3043700011456,2016,8/9/2019,Available,2
F ALP,"Alpert, Mark, 1961-",The silence,,2017,9/26/2019,Follett eBook,0
F ALP,"Alpert, Mark, 1961-",The silence,3043700011464,2017,8/9/2019,Available,2
F ALP,"Alpert, Mark, 1961-",The Six,,2015,9/26/2019,Follett eBook,0
F ALP,"Alpert, Mark, 1961-",The Six,3043700011506,2015,8/9/2019,Available,1
F ALP,"Alphin, Elaine Marie.",The perfect shot,3043700014056,2005,12/5/2019,Available,0
F ALP,"Alpine, Rachele, 1979-",A void the size of the world,3043700012177,2017,8/9/2019,Available,0
F ALS,"Alsaid, Adi.",Let's get lost,3043700013332,2014,12/5/2019,Available,0
F ALS,"Alsaid, Adi,",Never always sometimes,3043700015108,2016,12/5/2019,Available,0
F ALS,"Alsaid, Adi.",North of happy,3043700010632,2017,8/9/2019,Available,0
F ALS,"Alsaid, Adi,",We didn't ask for this,3043700016868,2020,12/14/2020,Available,0
F ALS,"Alsberg, Sasha, 1997-",Zenith,3043700013566,2018,12/5/2019,Available,0
F ALS,"Alsenas, Linas.",Beyond clueless,3043700008120,2015,8/9/2019,Available,0
F ALT,"Altebrando, Tara.",The leaving,,2018,9/3/2019,Follett eBook,0
F ALT,"Altebrando, Tara.",The Leaving,3043700013330,2016,12/5/2019,Available,0
F ALT,"Altebrando, Tara.",The opposite of here,3043700010740,2018,8/9/2019,Available,0
F ALT,"Altebrando, Tara.",The possible,3043700010882,2017,8/9/2019,Available,0
F ALV,"Alvarez, Julia,",Before we were free,3043700013981,2018,12/5/2019,Available,0
F ALV,"Alvarez, Julia.",Finding miracles,3043700008974,2006,8/9/2019,Available,0
F ALW,"Alward, Amy, 1986-",Royal tour,3043700014755,2016,12/5/2019,Available,0
F AM,edited by Marion Dane Bauer.,Am I blue? : coming out from the silence,3043700002778,1994,8/9/2019,Available,0
F AMA,"Amateau, Gigi, 1964-","Come August, come freedom : the bellows, the gallows, and the black general Gabriel",3043700008482,2012,8/9/2019,Available,0
F AMA,"Amato, Danielle Mages.",The hidden memory of objects,3043700012789,2017,12/5/2019,Available,0
F AMA,"Amato, Mary,",Guitar notes,3043700012765,2012,12/5/2019,Available,0
F AMA,"Amato, Mary.",Open mic night at Westminster Cemetery a novel in two acts,,2018,9/26/2019,Follett eBook,0
F AN,"An, Na, 1972-",The place between breaths,3043700010848,2018,8/9/2019,Checked Out,2
F AN,"An, Na, 1972-",A step from heaven,3043700011700,2016,8/9/2019,Available,0
F AN,"An, Na, 1972-",Wait for me : a novel,3043700012187,2017,8/9/2019,Available,2
F ANA,"Anastasiu, Heather.",Girl last seen,,2016,9/26/2019,Follett eBook,0
F ANA,"Anastasiu, Heather.",Girl last seen,3043700009544,2016,8/9/2019,Available,0
F ANA,"Anastasiu, Heather.",Glitch,3043700009578,2012,8/9/2019,Available,1
F ANA,"Anastasiu, Heather.",Override,3043700010794,2013,8/9/2019,Available,1
F ANA,"Anaya, Rudolfo A.","Bless me, Ultima",3043700015516,1999,12/5/2019,Available,0
F ANC,"Ancrum, Kayla,",The weight of the stars,3043700012278,2019,8/9/2019,Available,0
F ANC,"Ancrum, Kayla,",The wicker king,3043700013532,2017,12/5/2019,Available,0
F AND,"Andelson, Amy.",Layover,,2018,9/3/2019,Follett eBook,0
F AND,"Anders, Charlie.",All the birds in the sky,3043700002734,2016,8/9/2019,Available,0
F AND,"Anders, Charlie Jane,",The city in the middle of the night,3043700008435,2019,8/9/2019,Available,0
F AND,"Anderson, Cory,",What beauty there is,3043700071358,2021,9/14/2022,Available,0
F AND,"Anderson, Jodi Lynn.",Midnight at the Electric,,2017,9/3/2019,Follett eBook,0
F AND,"Anderson, Jodi Lynn.",Midnight at the Electric,3043700013819,2017,12/5/2019,Available,0
F AND,"Anderson, Jodi Lynn.",Midnight at the Electric,3043700013820,2017,12/5/2019,Available,0
F AND,"Anderson, Jodi Lynn.",Peaches : a novel,3043700015121,2006,12/5/2019,Available,0
F AND,"Anderson, Jodi Lynn.",Tiger Lily,3043700011936,2012,8/9/2019,Available,0
F AND,"Anderson, Jodi Lynn,",The vanishing season,3043700012133,2015,8/9/2019,Available,0
F AND,"Anderson, Josh,",The blade phenomenon,3043700008162,2016,8/9/2019,Available,0
F AND,"Anderson, Josh,",Blow up and fall down,3043700008198,2016,8/9/2019,Available,0
F AND,"Anderson, Josh,",Doomed,3043700009071,2016,8/9/2019,Available,0
F AND,"Anderson, Josh,",The last silk blot,3043700010162,2016,8/9/2019,Available,0
F AND,"Anderson, Josh,",Rebel revealed,3043700011034,2016,8/9/2019,Available,0
F AND,"Anderson, Josh,",The tunnel,3043700012008,2016,8/9/2019,Available,0
F AND,"Anderson, Katie D.,",Kiss & make up,3043700010094,2012,8/9/2019,Available,0
F AND,"Anderson, Laurie Halse,",A orillas de un mismo recuerdo,3043700015198,2015,12/5/2019,Available,0
F AND,"Anderson, Laurie Halse.",Ashes,3043700003304,2016,8/9/2019,Available,0
F AND,"Anderson, Laurie Halse.",Catalyst,3043700014314,2003,12/5/2019,Available,0
F AND,"Anderson, Laurie Halse.",Chains,3043700008384,2008,8/9/2019,Available,1
F AND,"Anderson, Laurie Halse.","Fever, 1793",3043700008949,2000,8/9/2019,Available,0
F AND,"Anderson, Laurie Halse.",Forge,3043700009350,2010,8/9/2019,Available,0
F AND,"Anderson, Laurie Halse.",The impossible knife of memory,3043700013716,2014,12/5/2019,Available,1
F AND,"Anderson, Laurie Halse.",Prom,,2019,9/3/2019,Follett eBook,0
F AND,"Anderson, Laurie Halse.",Prom,3043700014063,2006,12/5/2019,Available,1
F AND,"Anderson, Laurie Halse.",Speak,3043700011625,1999,8/9/2019,Available,6
F AND,"Anderson, Laurie Halse,",Speak,3043700017172,2019,12/14/2020,Lost,3
F AND,"Anderson, Laurie Halse.",Twisted,3043700015502,2008,12/5/2019,Available,0
F AND,"Anderson, Laurie Halse.",Wintergirls,,2019,9/3/2019,Follett eBook,0
F AND,"Anderson, Laurie Halse.",Wintergirls,3043700012409,2009,8/9/2019,Available,0
F AND,"Anderson, M. T.",Fatal throne the wives of Henry VIII tell all,,2018,9/3/2019,Follett eBook,0
F AND,"Anderson, M. T.",Fatal throne : the wives of Henry VIII tell all,3043700008921,2018,8/9/2019,Available,5
F AND,"Anderson, M. T.",Feed,3043700008934,2012,8/9/2019,Available,0
F AND,"Anderson, M. T.",The kingdom on the waves,3043700010088,2011,8/9/2019,Available,0
F AND,"Anderson, M. T.",Landscape with invisible hand,,2017,9/26/2019,Follett eBook,0
F AND,"Anderson, M. T.",Landscape with invisible hand,3043700010123,2017,8/9/2019,Available,0
F AND,"Anderson, M. T.",The Pox party,3043700010885,2006,8/9/2019,Available,0
F AND,"Anderson, M. T.,",Thirsty,3043700011866,2017,8/9/2019,Available,1
F AND,"Anderson, Matthew T.,",Burger Wuss,3043700014443,2017,12/5/2019,Available,0
F AND,"Anderson, Natalie C.",City of saints & thieves,,2017,9/3/2019,Follett eBook,0
F AND,"Anderson, Natalie C.",City of saints & thieves,3043700008445,2017,8/9/2019,Available,0
F AND,"Anderson, Natalie C.,",Let's go swimming on doomsday,3043700010212,2019,8/9/2019,Available,1
F AND,"Andreani, Michelle.",The way back to you,3043700012239,2016,8/9/2019,Checked Out,1
F AND,"Andreu, Maria E.",The secret side of empty,3043700011319,2015,8/9/2019,Available,0
F AND,"Andrews, Emily.",The finer points of becoming machine,3043700008979,2012,8/9/2019,Available,1
F AND,"Andrews, Jesse.",The Haters,,2016,9/26/2019,Follett eBook,0
F AND,"Andrews, Jesse.",The Haters,3043700013683,2016,12/5/2019,Available,0
F AND,"Andrews, Jesse.",Me and Earl and the dying girl,,2015,9/26/2019,Follett eBook,0
F AND,"Andrews, Jesse,",Me and Earl and the dying girl,3043700012927,2015,12/5/2019,Checked Out,2
F AND,"Andrews, Jesse.",Munmun,,2018,9/26/2019,Follett eBook,0
F AND,"Andrews, Jesse.",Munmun,3043700012963,2018,12/5/2019,Available,0
F ANG,"Angeles, Janella,",Where dreams descend,3043700017206,2020,12/14/2020,Available,0
F ANG,"Angelini, Josephine.",Dreamless,3043700009118,2012,8/9/2019,Available,0
F ANG,"Angelini, Josephine,",Firewalker,3043700009008,2015,8/9/2019,Available,0
F ANG,"Angelini, Josephine.",Goddess,3043700009582,2013,8/9/2019,Available,0
F ANG,"Angelini, Josephine.",Starcrossed,3043700011670,2012,8/9/2019,Available,0
F ANG,"Angelini, Josephine.",Trial by fire,3043700011973,2014,8/9/2019,Available,0
F ANG,"Angelini, Josephine,",Witch's pyre,3043700012431,2016,8/9/2019,Available,0
F ANG,"Angelo, Megan,",Followers : a novel,3043700016224,2020,5/20/2020,Available,2
F ANS,"Anstey, Cindy,",Duels & deception,3043700015445,2017,12/5/2019,Available,0
F ANS,"Anstey, Cindy,","Love, lies and spies",3043700010356,2016,8/9/2019,Checked Out,2
F ANT,"Anthony, Gretchen.",The kids are gonna ask a novel,,2021,2/12/2021,Follett eBook,0
F AOK,"Aoki, Ryka,",Light from uncommon stars,3043700071382,2021,9/14/2022,Available,1
F APE,"Apelfeld, Aharon,",To the edge of sorrow : a novel,3043700016330,2020,5/20/2020,Available,0
F APP,"Appelhans, Lenore,",The Manic Pixie Dream Boy Improvement Project,3043700012920,2019,12/5/2019,Available,0
F APP,"Appelt, Kathi, 1954-",Angel thieves,3043700017340,2020,12/14/2020,Available,0
F APP,"Applegate, Katherine.",Home of the brave,3043700014507,2009,12/5/2019,Available,0
F ARC,"Archer, E., 1978-",Geek : fantasy novel,3043700009477,2016,8/9/2019,Available,1
F ARC,"Archer, Jennifer, 1957-",Through her eyes,3043700015191,2012,12/5/2019,Available,0
F ARC,"Arcos, Carrie.",Crazy messy beautiful,3043700008538,2017,8/9/2019,Available,0
F ARC,"Arcos, Carrie.",Out of reach,3043700010775,2012,8/9/2019,Available,0
F ARC,"Arcos, Carrie.",There will come a time,3043700011852,2014,8/9/2019,Available,0
F ARC,"Arcos, Carrie,",We are all that's left,3043700012249,2018,8/9/2019,Available,0
F ARD,"Arden, Katherine.",The bear and the nightingale : a novel,3043700003389,2017,8/9/2019,Available,3
F ARD,"Arden, Katherine,",The girl in the tower : a novel,3043700013674,2018,12/5/2019,Available,0
